ticker,company,ipo_date,offer_price,sector,total_proceeds_m
INTZ,Intrusion Inc.,2020-10-09,8.0,Technology,100.0
STTK,"Shattuck Labs, Inc.",2020-10-09,17.0,Healthcare,100.0
SPRB,"Spruce Biosciences, Inc.",2020-10-09,15.0,Healthcare,100.0
KRON,"Kronos Bio, Inc.",2020-10-09,19.0,Unknown,100.0
CDAKQ,"Codiak BioSciences, Inc.",2020-10-14,15.0,Unknown,100.0
MNSO,MINISO Group Holding Limited,2020-10-15,20.0,Consumer Cyclical,100.0
ARRY,"Array Technologies, Inc.",2020-10-15,22.0,Technology,100.0
TARS,"Tarsus Pharmaceuticals, Inc.",2020-10-16,16.0,Healthcare,100.0
PRAX,"Praxis Precision Medicines, Inc.",2020-10-16,19.0,Healthcare,100.0
OPT,Opthea Limited,2020-10-16,13.5,Unknown,100.0
KRBP,"Kiromic BioPharma, Inc.",2020-10-16,12.0,Unknown,100.0
EAR,"Eargo, Inc.",2020-10-16,18.0,Unknown,100.0
ALGS,"Aligos Therapeutics, Inc.",2020-10-16,15.0,Healthcare,100.0
MSP,Datto Holding Corp.,2020-10-21,27.0,Unknown,100.0
GHLD,Guild Holdings Company,2020-10-22,15.0,Unknown,100.0
ABCM,Abcam PLC,2020-10-22,17.5,Unknown,100.0
MCFE,McAfee Corp.,2020-10-22,20.0,Unknown,100.0
FHTX,Foghorn Therapeutics Inc.,2020-10-23,16.0,Healthcare,100.0
ROOT,"Root, Inc.",2020-10-28,27.0,Financial Services,100.0
MAX,"MediaAlpha, Inc.",2020-10-28,19.0,Communication Services,100.0
GATO,"Gatos Silver, Inc.",2020-10-28,7.0,Unknown,100.0
BDSX,"Biodesix, Inc.",2020-10-28,18.0,Healthcare,100.0
ABST,Absolute Software Corporation,2020-10-28,11.0,Unknown,100.0
LESL,"Leslie's, Inc.",2020-10-29,17.0,Consumer Cyclical,100.0
ALGM,"Allegro MicroSystems, Inc.",2020-10-29,14.0,Technology,100.0
SQZB,SQZ Biotechnologies Company,2020-10-30,16.0,Healthcare,100.0
LU,Lufax Holding Ltd,2020-10-30,13.5,Financial Services,100.0
AVIR,"Atea Pharmaceuticals, Inc.",2020-10-30,24.0,Healthcare,100.0
YSG,Yatsen Holding Limited,2020-11-19,10.5,Consumer Defensive,100.0
TLS,Telos Corporation,2020-11-19,17.0,Technology,100.0
OLMA,"Olema Pharmaceuticals, Inc.",2020-11-19,19.0,Healthcare,100.0
NGMS,NeoGames S.A.,2020-11-19,17.0,Unknown,100.0
MRVI,"Maravai LifeSciences Holdings, Inc.",2020-11-20,27.0,Healthcare,100.0
SHC,Sotera Health Company,2020-11-20,23.0,Healthcare,100.0
OZON,Ozon Holdings PLC,2020-11-24,30.0,Unknown,990.0
HFEN,"HF Enterprises, Inc.",2020-11-24,7.0,Unknown,100.0
KNTE,"Kinnate Biopharma, Inc.",2020-12-03,20.0,Unknown,100.0
DCBO,Docebo Inc.,2020-12-03,52.21,Technology,100.0
YQ,17 Education & Technology Group Inc.,2020-12-04,10.5,Consumer Defensive,100.0
SGTX,"Sigilon Therapeutics, Inc.",2020-12-04,18.0,Unknown,100.0
SEER,"Seer, Inc.",2020-12-04,19.0,Healthcare,100.0
SBTX,"Silverback Therapeutics, Inc.",2020-12-04,21.0,Unknown,100.0
DASH,"DoorDash, Inc.",2020-12-09,102.0,Consumer Cyclical,3370.0
AI,"C3.ai, Inc.",2020-12-09,42.0,Technology,100.0
PUBM,"PubMatic, Inc.",2020-12-09,20.0,Technology,100.0
PCPC,Periphas Capital Partnering Corporation,2020-12-10,25.0,Unknown,100.0
HYFM,"Hydrofarm Holdings Group, Inc.",2020-12-10,20.0,Industrials,100.0
ABNB,"Airbnb, Inc.",2020-12-10,68.0,Consumer Cyclical,3500.0
VVOS,"Vivos Therapeutics, Inc.",2020-12-11,6.0,Healthcare,100.0
