run_id,experiment,family,variant,variant_group,target,model,roc_auc_mean,roc_auc_std,bal_accuracy_mean,bal_accuracy_std,naive_accuracy,pred_positive_pct,n_samples,n_features,delta_auc_vs_baseline,delta_bal_acc_vs_baseline
run_20260407_225709,baseline,baseline,M3_combined,combined,label_1w,xgboost,0.584720128110372,0.06306345193376635,0.5642793791574279,0.06061960745616322,0.5223529411764706,55.5,425,430,0.0,0.0
run_20260407_225709,baseline,baseline,M1_text,text,label_1m,logistic_regression,0.6120708748615725,0.028743035426518238,0.5814507198228129,0.043560956504100565,0.5058823529411764,52.2,425,401,0.0,0.0
run_20260407_225709,baseline,baseline,M1_text,text,label_1m,ridge,0.5826135105204872,0.051868635920004215,0.557641196013289,0.05022255227972587,0.5058823529411764,49.9,425,401,0.0,0.0
run_20260407_225709,baseline,baseline,M1_text,text,label_1m,random_forest,0.6198228128460685,0.018818316401286856,0.6122923588039867,0.03202894446347335,0.5058823529411764,54.4,425,401,0.0,0.0
run_20260407_225709,baseline,baseline,M1_text,text,label_1m,xgboost,0.6068660022148394,0.035376816932366065,0.57718715393134,0.042413379820159136,0.5058823529411764,56.0,425,401,0.0,0.0
run_20260407_225709,baseline,baseline,M2_multiples,structured,label_1m,logistic_regression,0.5656200096200097,0.06189022533473688,0.5492418058132343,0.0529101639426953,0.5241779497098646,52.6,517,29,0.0,0.0
run_20260407_225709,baseline,baseline,M2_multiples,structured,label_1m,ridge,0.5530796399367828,0.06521980882041742,0.5319540988112417,0.05490079813198366,0.5241779497098646,45.1,517,29,0.0,0.0
run_20260407_225709,baseline,baseline,M2_multiples,structured,label_1m,random_forest,0.6297643097643097,0.06210596931155093,0.5769944341372912,0.05046285886238054,0.5241779497098646,46.4,517,29,0.0,0.0
run_20260407_225709,baseline,baseline,M2_multiples,structured,label_1m,xgboost,0.6068421631278774,0.07132544304881865,0.5711746031746031,0.05998678190493497,0.5241779497098646,47.0,517,29,0.0,0.0
run_20260407_225709,baseline,baseline,M3_combined,combined,label_1m,logistic_regression,0.6192691029900332,0.038029186344389204,0.5838316722037652,0.042346461334834974,0.5058823529411764,52.5,425,430,0.0,0.0
run_20260407_225709,baseline,baseline,M3_combined,combined,label_1m,ridge,0.5868217054263566,0.05631574953644272,0.567109634551495,0.043717348082335517,0.5058823529411764,50.4,425,430,0.0,0.0
run_20260407_225709,baseline,baseline,M3_combined,combined,label_1m,random_forest,0.6313399778516058,0.024818063925282734,0.6122369878183832,0.03609177514449209,0.5058823529411764,53.9,425,430,0.0,0.0
run_20260407_225709,baseline,baseline,M3_combined,combined,label_1m,xgboost,0.6153931339977852,0.03710368388282955,0.6003875968992249,0.039833488345467884,0.5058823529411764,53.2,425,430,0.0,0.0
run_20260407_225709,baseline,baseline,M1_text,text,label_6m,logistic_regression,0.5922413793103447,0.022325653583496908,0.5506773399014778,0.03151999708462714,0.6588235294117647,39.5,425,401,0.0,0.0
run_20260407_225709,baseline,baseline,M1_text,text,label_6m,ridge,0.5580049261083745,0.03328633432658308,0.5085591133004927,0.039928550841073544,0.6588235294117647,40.9,425,401,0.0,0.0
run_20260407_225709,baseline,baseline,M1_text,text,label_6m,random_forest,0.6082512315270937,0.04354872050679149,0.5492610837438424,0.0175314272880226,0.6588235294117647,17.6,425,401,0.0,0.0
run_20260407_225709,baseline,baseline,M1_text,text,label_6m,xgboost,0.6295566502463054,0.05528665161220967,0.5823891625615764,0.04437968120941239,0.6588235294117647,27.8,425,401,0.0,0.0
run_20260407_225709,baseline,baseline,M2_multiples,structured,label_6m,logistic_regression,0.62544208987943,0.06700675059742692,0.5949397150164415,0.04671599404214424,0.6634429400386848,45.5,517,29,0.0,0.0
run_20260407_225709,baseline,baseline,M2_multiples,structured,label_6m,ridge,0.6208080623553769,0.06609286525959317,0.5481147241505298,0.008581794473074248,0.6634429400386848,12.6,517,29,0.0,0.0
run_20260407_225709,baseline,baseline,M2_multiples,structured,label_6m,random_forest,0.6789325295335524,0.05725522532768835,0.6335854341736695,0.03902372184806046,0.6634429400386848,32.9,517,29,0.0,0.0
run_20260407_225709,baseline,baseline,M2_multiples,structured,label_6m,xgboost,0.6370009743027646,0.041941205338427254,0.6057118499573744,0.023058699337456575,0.6634429400386848,37.1,517,29,0.0,0.0
run_20260407_225709,baseline,baseline,M3_combined,combined,label_6m,logistic_regression,0.620320197044335,0.035139764896734066,0.5685344827586207,0.032248966092282824,0.6588235294117647,37.2,425,430,0.0,0.0
run_20260407_225709,baseline,baseline,M3_combined,combined,label_6m,ridge,0.5592364532019705,0.03409439998539702,0.5208128078817734,0.03984832331934496,0.6588235294117647,40.7,425,430,0.0,0.0
